Case Study,Impact Category,S_a_min,S_a_max,S_a_mean,S_r1_min,S_r1_max,S_r1_mean,S_r2_min,S_r2_max,S_r2_mean,S_qp_min,S_qp_max,S_qp_mean,S_qs_in_min,S_qs_in_max,S_qs_in_mean,S_qs_out_min,S_qs_out_max,S_qs_out_mean,RS_a_min,RS_a_max,RS_a_mean,RS_r1_min,RS_r1_max,RS_r1_mean,RS_r2_min,RS_r2_max,RS_r2_mean,RS_qp_min,RS_qp_max,RS_qp_mean,RS_qs_in_min,RS_qs_in_max,RS_qs_in_mean,RS_qs_out_min,RS_qs_out_max,RS_qs_out_mean
concrete industrial floor,GWP,0.0,103.859,37.7335,-99.06,-78.0,-88.92,-43.825,-84.385,-64.105,0.0,54.599999999999994,20.201999999999998,0.0,0.0,0.0,-0.0,-54.599999999999994,-27.299999999999997,0.0,0.4847312390028983,0.1312348600911568,-0.0,-0.0,-0.0,-0.0,-0.5513789257027643,-0.15606735379173745,0.0,0.5096587806460344,0.14052269964681516,0.0,0.0,0.0,-0.0,-0.5096587806460344,-0.14052269964681516
concrete industrial floor,ADP_elements,0.0,0.000307846,0.000113064,-0.000285115,-0.0002245,-0.00025593,-0.00010703,-0.00022377,-0.0001654,0.0,0.00015715,5.81455e-05,0.0,0.0,0.0,-0.0,-0.00015715,-7.8575e-05,0.0,0.5195870929412201,0.14312261069900503,-0.0,-0.0,-0.0,-0.0,-0.5287553039586013,-0.14656067242208662,0.0,0.5304802508768198,0.14720752424112002,0.0,0.0,0.0,-0.0,-0.5304802508768198,-0.14720752424112002
concrete industrial floor,ADP_fossil,-0.0,77.0,-65.24,-723.9000000000001,-570.0,-649.8,104.40000000000003,-192.0,-43.80000000000001,0.0,399.0,147.63,0.0,0.0,0.0,-0.0,-399.0,-199.5,-0.0,0.0336950813933135,-0.02585462125595441,-0.0,-0.0,-0.0,0.0,-0.11762646595483983,-0.012150562349901325,0.0,0.3492035708034308,0.11701157989014561,0.0,0.0,0.0,-0.0,-0.3492035708034308,-0.11701157989014561
concrete industrial floor,AP,0.0,0.05019,0.015267000000000001,-0.06858,-0.054,-0.06156,-0.06897,-0.09705,-0.08301,0.0,0.0378,0.013986,0.0,0.0,0.0,-0.0,-0.0378,-0.0189,0.0,0.24781513849800027,0.05446800312530103,-0.0,-0.0,-0.0,-0.0,-0.670863575766553,-0.20730806691569179,0.0,0.3732780328840172,0.0997955710631375,0.0,0.0,0.0,-0.0,-0.3732780328840172,-0.0997955710631375
concrete industrial floor,EP,0.0,0.008309,0.0025074000000000003,-0.0114935,-0.00905,-0.010317,-0.008079,-0.012785000000000001,-0.010432,0.0,0.006335,0.00234395,0.0,0.0,0.0,-0.0,-0.006335,-0.0031675,0.0,0.25964813599575015,0.05886247112513382,-0.0,-0.0,-0.0,-0.0,-0.5593262710540295,-0.17142749826281292,0.0,0.39592512733977064,0.110050800984093,0.0,0.0,0.0,-0.0,-0.39592512733977064,-0.110050800984093
concrete industrial floor,HTP,0.0,2.303,0.73199,-2.9273500000000006,-2.305,-2.6277,-0.9724,-2.1710000000000003,-1.5717,0.0,1.6135,0.5969949999999999,0.0,0.0,0.0,-0.0,-1.6135,-0.80675,0.0,0.31841937892320876,0.07980867462365661,-0.0,-0.0,-0.0,-0.0,-0.4202361529740342,-0.11995342249784938,0.0,0.44617426651549924,0.13018041150002016,0.0,0.0,0.0,-0.0,-0.44617426651549924,-0.13018041150002016
concrete industrial floor,ODP,0.0,3.2493999999999997e-10,1.1451299999999999e-10,-3.3464500000000004e-10,-2.635e-10,-3.0039000000000003e-10,-1.2518e-10,-2.622e-10,-1.9369e-10,0.0,1.8445e-10,6.82465e-11,0.0,0.0,0.0,-0.0,-1.8445e-10,-9.2225e-11,0.0,0.4349234393404003,0.11701513462365765,-0.0,-0.0,-0.0,-0.0,-0.4913266945069063,-0.1385455188291231,0.0,0.4937627154941641,0.13947540253234922,0.0,0.0,0.0,-0.0,-0.4937627154941641,-0.1394754025323492
concrete industrial floor,POCP,-0.0,0.002674,0.00048979,-0.005911850000000001,-0.004655,-0.0053067,-0.0042594,-0.00668,-0.0054697,0.0,0.0032585,0.001205645,0.0,0.0,0.0,-0.0,-0.0032585,-0.00162925,-0.0,0.1421735431731178,0.020130112723534918,-0.0,-0.0,-0.0,-0.0,-0.4972352190557209,-0.1573612656337272,0.0,0.34650148872820075,0.09910275732279653,0.0,0.0,0.0,-0.0,-0.34650148872820075,-0.09910275732279653
concrete composite floor,GWP,-167.03879999999998,9.111000000000047,-135.95100000000002,-250.979,-273.1246,-257.2908,-6.125000000000002,-76.03700000000002,-53.087,-90.66599999999998,23.063940000000017,-43.685280000000006,124.19999999999999,74.52000000000001,99.36,-0.0,-120.47400000000002,-80.316,-0.3160888567280632,0.035994713980100575,-0.34756250523955035,-0.5699154819557078,-0.9248828127314855,-0.6577710721001543,-0.0,-0.41626639147306194,-0.10970569785058862,-0.34313599336329736,0.13016917126145744,-0.18613771823293226,0.34313599336329736,0.4205789055297492,0.36409045719557637,-0.0,-0.5507480767912066,-0.1779527389626441
concrete composite floor,ADP_elements,-0.00024920579999999996,3.611690000000003e-05,-0.00018514259999999994,-0.00036184149999999996,-0.0003986591,-0.0003736838,-2.9474000000000003e-05,-0.00011716200000000003,-8.987700000000001e-05,-0.000125049,3.1810410000000024e-05,-6.025192e-05,0.0001713,0.00010278000000000002,0.00013704,-0.0,-0.00016616100000000004,-0.00011077400000000001,-0.3517827715715317,0.11572411135076156,-0.3660049249052845,-0.6129372867225421,-1.094884430740837,-0.7387284782503941,-0.0,-0.5202042053148678,-0.14362155574784385,-0.35304221492636584,0.14560779140407873,-0.19851814632792256,0.35304221492636584,0.47046136156406665,0.38830691245340426,-0.0,-0.6160691529681454,-0.1897887661254817
concrete composite floor,ADP_fossil,-1717.902,-7457.713,-5134.278,-2503.4849999999997,-2754.549,-2583.362,3767.5499999999997,1565.3899999999999,2551.34,-869.43,221.16870000000006,-418.9144,1191.0,714.6000000000001,952.8000000000001,-0.0,-1155.2700000000002,-770.1800000000001,-0.34651762197087393,-1.3571467251238487,-0.8397844582698056,-0.6059728684218912,-0.4296599263312844,-0.4225457323668102,0.0,0.3947456803983383,0.3373240290340764,-0.3507450553874865,0.05749720876798463,-0.11419905014409058,0.3507450553874865,0.18577450328912642,0.22337645896266392,-0.0,-0.24327171205711104,-0.10917740881857335
concrete composite floor,AP,-0.1906086,-0.19588689999999992,-0.25395139999999994,-0.27791050000000006,-0.3057257,-0.2867466,0.08891499999999998,-0.025333000000000015,0.019001999999999995,-0.096579,0.024568110000000018,-0.046534320000000004,0.1323,0.07938,0.10584,-0.0,-0.128331,-0.085554,-0.34144108866427325,-0.5764732402968664,-0.5383405571569696,-0.5973921239937707,-0.7711856101849489,-0.6078616790727154,0.0,-0.10330802911962621,0.03256089173323398,-0.34600788109357966,0.10328742890244949,-0.1644101440651028,0.34600788109357966,0.33372351826316454,0.3215907291038402,-0.0,-0.43701094716561395,-0.15718058503873739
